iteration,type,operator_id,weight
162,destroy,0,1.7
162,destroy,1,2.1
162,destroy,2,2
162,repair,0,1.4
162,repair,1,2.3
163,destroy,0,1.7
163,destroy,1,2.1
163,destroy,2,2
163,repair,0,1.4
163,repair,1,2.3
164,destroy,0,1.7
164,destroy,1,2.1
164,destroy,2,2
164,repair,0,1.4
164,repair,1,2.3
165,destroy,0,1.7
165,destroy,1,2.1
165,destroy,2,2
165,repair,0,1.4
165,repair,1,2.3
166,destroy,0,1.7
166,destroy,1,2.1
166,destroy,2,2
166,repair,0,1.4
166,repair,1,2.3
167,destroy,0,1.7
167,destroy,1,2.1
167,destroy,2,2
167,repair,0,1.4
167,repair,1,2.3
168,destroy,0,1.7
168,destroy,1,2.1
168,destroy,2,2
168,repair,0,1.4
168,repair,1,2.3
169,destroy,0,1.7
169,destroy,1,2.1
169,destroy,2,2
169,repair,0,1.4
169,repair,1,2.3
170,destroy,0,1.7
170,destroy,1,2.1
170,destroy,2,2
170,repair,0,1.4
170,repair,1,2.3
171,destroy,0,1.7
171,destroy,1,2.1
171,destroy,2,2
171,repair,0,1.4
171,repair,1,2.3
172,destroy,0,1.7
172,destroy,1,2.1
172,destroy,2,2
172,repair,0,1.4
172,repair,1,2.3
173,destroy,0,1.7
173,destroy,1,2.1
173,destroy,2,2
173,repair,0,1.4
173,repair,1,2.3
174,destroy,0,1.7
174,destroy,1,2.1
174,destroy,2,2
174,repair,0,1.4
174,repair,1,2.3
175,destroy,0,1.7
175,destroy,1,2.1
175,destroy,2,2
175,repair,0,1.4
175,repair,1,2.3
176,destroy,0,1.7
176,destroy,1,2.1
176,destroy,2,2
176,repair,0,1.4
176,repair,1,2.3
177,destroy,0,1.7
177,destroy,1,2.1
177,destroy,2,2
177,repair,0,1.4
177,repair,1,2.3
178,destroy,0,1.7
178,destroy,1,2.1
178,destroy,2,2
178,repair,0,1.4
178,repair,1,2.3
179,destroy,0,1.7
179,destroy,1,2.1
179,destroy,2,2
179,repair,0,1.4
179,repair,1,2.3
180,destroy,0,1.7
180,destroy,1,2.1
180,destroy,2,2
180,repair,0,1.4
180,repair,1,2.3
181,destroy,0,1.7
181,destroy,1,2.1
181,destroy,2,2
181,repair,0,1.4
181,repair,1,2.3
182,destroy,0,1.7
182,destroy,1,2.1
182,destroy,2,2
182,repair,0,1.4
182,repair,1,2.3
183,destroy,0,1.7
183,destroy,1,2.1
